t	z	A	theta	lambda	theta_s	lambda_s
134000.000000	0.127174	-2.130264	0.057027	-0.431878	-0.010669	-0.324169
135000.000000	0.034585	-2.665759	0.019996	-0.412764	-0.010748	-0.396923
136000.000000	0.023054	2.067296	0.000153	-0.449405	-0.010828	-0.469676
137000.000000	0.052011	1.689224	-0.004772	-0.490780	-0.010908	-0.542429
138000.000000	0.082888	1.620900	-0.006864	-0.532394	-0.010987	-0.615183
139000.000000	0.113926	1.598148	-0.008010	-0.574046	-0.011067	-0.687936
140000.000000	0.144994	1.588098	-0.008738	-0.615708	-0.011146	-0.760689
141000.000000	0.176072	1.582894	-0.009250	-0.657373	-0.011226	-0.833443
142000.000000	0.207151	1.579908	-0.009638	-0.699040	-0.011306	-0.906196
143000.000000	0.238232	1.578068	-0.009950	-0.740708	-0.011385	-0.978949
144000.000000	0.269314	1.576889	-0.010212	-0.782376	-0.011465	-1.051703
145000.000000	0.300396	1.576101	-0.010442	-0.824044	-0.011544	-1.124456
146000.000000	0.331478	1.575571	-0.010650	-0.865712	-0.011624	-1.197209
147000.000000	0.362560	1.575209	-0.010844	-0.907381	-0.011704	-1.269963
148000.000000	0.393641	1.574966	-0.011027	-0.949050	-0.011783	-1.342716
149000.000000	0.424722	1.574811	-0.011204	-0.990719	-0.011863	-1.415469
150000.000000	0.455804	1.574719	-0.011377	-1.032387	-0.011942	-1.488222
151000.000000	0.486885	1.574676	-0.011549	-1.074057	-0.012022	-1.560976
152000.000000	0.517966	1.574673	-0.011720	-1.115726	-0.012102	-1.633729
153000.000000	0.549046	1.574698	-0.011893	-1.157395	-0.012181	-1.706482
154000.000000	0.580128	1.574751	-0.012068	-1.199064	-0.012261	-1.779236
155000.000000	0.611207	1.574822	-0.012247	-1.240734	-0.012340	-1.851989
156000.000000	0.642288	1.574916	-0.012429	-1.282403	-0.012420	-1.924742
157000.000000	0.673369	1.575026	-0.012616	-1.324072	-0.012500	-1.997496
158000.000000	0.704448	1.575149	-0.012809	-1.365742	-0.012579	-2.070249
159000.000000	0.735527	1.575289	-0.013007	-1.407412	-0.012659	-2.143002
160000.000000	0.766607	1.575441	-0.013212	-1.449081	-0.012738	-2.215756
161000.000000	0.797686	1.575607	-0.013424	-1.490751	-0.012818	-2.288509
162000.000000	0.828764	1.575785	-0.013644	-1.532421	-0.012897	-2.361262
163000.000000	0.859843	1.575976	-0.013872	-1.574091	-0.012977	-2.434016
164000.000000	0.890920	1.576181	-0.014108	-1.615761	-0.013057	-2.506769
165000.000000	0.921998	1.576398	-0.014354	-1.657431	-0.013136	-2.579522
166000.000000	0.953075	1.576629	-0.014610	-1.699102	-0.013216	-2.652276
167000.000000	0.984152	1.576873	-0.014876	-1.740772	-0.013295	-2.725029
168000.000000	1.015228	1.577133	-0.015153	-1.782442	-0.013375	-2.797782
169000.000000	1.046303	1.577408	-0.015442	-1.824113	-0.013455	-2.870535
170000.000000	1.077379	1.577698	-0.015743	-1.865784	-0.013534	-2.943289
171000.000000	1.108454	1.578006	-0.016057	-1.907454	-0.013614	-3.016042
172000.000000	1.139528	1.578331	-0.016385	-1.949125	-0.013693	-3.088795
173000.000000	1.170601	1.578676	-0.016728	-1.990796	-0.013773	3.121637
174000.000000	1.201675	1.579041	-0.017086	-2.032467	-0.013853	3.048883
175000.000000	1.232746	1.579427	-0.017461	-2.074139	-0.013932	2.976130
176000.000000	1.263817	1.579837	-0.017853	-2.115810	-0.014012	2.903377
177000.000000	1.294889	1.580272	-0.018263	-2.157481	-0.014091	2.830623
178000.000000	1.325958	1.580734	-0.018693	-2.199153	-0.014171	2.757870
179000.000000	1.357026	1.581224	-0.019144	-2.240825	-0.014250	2.685117
180000.000000	1.388095	1.581746	-0.019618	-2.282496	-0.014330	2.612363
181000.000000	1.419161	1.582302	-0.020114	-2.324168	-0.014410	2.539610
182000.000000	1.450226	1.582894	-0.020636	-2.365840	-0.014489	2.466857
183000.000000	1.481289	1.583525	-0.021185	-2.407512	-0.014569	2.394104
184000.000000	1.512351	1.584199	-0.021762	-2.449185	-0.014648	2.321350
185000.000000	1.585078	1.585840	-0.021762	-2.449185	-0.014728	2.248597
186000.000000	1.657803	1.587563	-0.021762	-2.449185	-0.014808	2.175844
187000.000000	1.730526	1.589386	-0.021762	-2.449185	-0.014887	2.103090
188000.000000	1.803246	1.591334	-0.021762	-2.449185	-0.014967	2.030337
189000.000000	1.875963	1.593432	-0.021762	-2.449185	-0.015046	1.957584
190000.000000	1.948677	1.595716	-0.021762	-2.449185	-0.015126	1.884830
191000.000000	2.021385	1.598224	-0.021762	-2.449185	-0.015205	1.812077
192000.000000	2.094088	1.601008	-0.021762	-2.449185	-0.015285	1.739324
193000.000000	2.166785	1.604135	-0.021762	-2.449185	-0.015365	1.666570
194000.000000	2.239473	1.607688	-0.021762	-2.449185	-0.015444	1.593817
195000.000000	2.312151	1.611788	-0.021762	-2.449185	-0.015524	1.521064
196000.000000	2.384814	1.616591	-0.021762	-2.449185	-0.015603	1.448311
197000.000000	2.457461	1.622328	-0.021762	-2.449185	-0.015683	1.375557
198000.000000	2.530083	1.629332	-0.021762	-2.449185	-0.015762	1.302804
199000.000000	2.602670	1.638121	-0.021762	-2.449185	-0.015842	1.230051
200000.000000	2.675208	1.649528	-0.021762	-2.449185	-0.015922	1.157297
201000.000000	2.747667	1.664998	-0.021762	-2.449185	-0.016001	1.084544
202000.000000	2.819995	1.687275	-0.021762	-2.449185	-0.016081	1.011791
203000.000000	2.892080	1.722245	-0.021762	-2.449185	-0.016160	0.939037
204000.000000	2.963623	1.785192	-0.021762	-2.449185	-0.016240	0.866284
205000.000000	3.033543	1.930514	-0.021762	-2.449185	-0.016319	0.793531
206000.000000	3.094042	2.502207	-0.021762	-2.449185	-0.016399	0.720778
207000.000000	3.083009	-2.281819	-0.021762	-2.449185	-0.016479	0.648024
208000.000000	3.018354	-1.886454	-0.021762	-2.449185	-0.016558	0.575271
209000.000000	2.947871	-1.769489	-0.021762	-2.449185	-0.016638	0.502518
210000.000000	2.876162	-1.715101	-0.021762	-2.449185	-0.016717	0.429764
211000.000000	2.804009	-1.683766	-0.021762	-2.449185	-0.016797	0.357011
212000.000000	2.731645	-1.663364	-0.021762	-2.449185	-0.016876	0.284258
213000.000000	2.659165	-1.648992	-0.021762	-2.449185	-0.016956	0.211505
214000.000000	2.586615	-1.638292	-0.021762	-2.449185	-0.017036	0.138751
215000.000000	2.514019	-1.629989	-0.021762	-2.449185	-0.017115	0.065998
216000.000000	2.441392	-1.623341	-0.021762	-2.449185	-0.017195	-0.006755
217000.000000	2.368741	-1.617878	-0.021762	-2.449185	-0.017274	-0.079509
218000.000000	2.296074	-1.613298	-0.021762	-2.449185	-0.017354	-0.152262
219000.000000	2.223395	-1.609387	-0.021762	-2.449185	-0.017433	-0.225015
220000.000000	2.150705	-1.606000	-0.021762	-2.449185	-0.017513	-0.297768
221000.000000	2.078007	-1.603028	-0.021762	-2.449185	-0.017593	-0.370522
222000.000000	2.005303	-1.600388	-0.021762	-2.449185	-0.017672	-0.443275
223000.000000	1.932594	-1.598021	-0.021762	-2.449185	-0.017752	-0.516028
224000.000000	1.859880	-1.595879	-0.021762	-2.449185	-0.017831	-0.588782
225000.000000	1.787163	-1.593925	-0.021762	-2.449185	-0.017911	-0.661535
226000.000000	1.714444	-1.592127	-0.021762	-2.449185	-0.017990	-0.734288
227000.000000	1.641720	-1.590463	-0.021762	-2.449185	-0.018070	-0.807042
228000.000000	1.527328	-1.587988	-0.022498	-2.407514	-0.018149	-0.879795
229000.000000	1.412936	-1.585576	-0.023133	-2.365842	-0.018229	-0.952548
230000.000000	1.298541	-1.583200	-0.023670	-2.324167	-0.018309	-1.025301
231000.000000	1.184144	-1.580837	-0.024110	-2.282491	-0.018388	-1.098055
232000.000000	1.069747	-1.578465	-0.024450	-2.240813	-0.018468	-1.170808
233000.000000	0.955350	-1.576055	-0.024691	-2.199135	-0.018547	-1.243561
234000.000000	0.840952	-1.573579	-0.024828	-2.157456	-0.018627	-1.316314
235000.000000	0.726552	-1.570986	-0.024858	-2.115776	-0.018706	-1.389068
236000.000000	0.612154	-1.568210	-0.024771	-2.074097	-0.018786	-1.461821
237000.000000	0.497756	-1.565118	-0.024556	-2.032418	-0.018865	-1.534574
238000.000000	0.383357	-1.561470	-0.024189	-1.990740	-0.018945	-1.607328
239000.000000	0.268963	-1.556692	-0.023622	-1.949066	-0.019025	-1.680081
240000.000000	0.154572	-1.548983	-0.022733	-1.907397	-0.019104	-1.752834
241000.000000	0.040202	-1.527413	-0.020944	-1.865759	-0.019184	-1.825587
242000.000000	0.009048	-1.622853	-0.018793	-1.907378	-0.019263	-1.898341
243000.000000	0.022040	1.579266	-0.019161	-1.949051	-0.019343	-1.971094
244000.000000	0.053112	1.573664	-0.019297	-1.990725	-0.019422	-2.043847
245000.000000	0.084186	1.572838	-0.019399	-2.032399	-0.019502	-2.116601
246000.000000	0.115258	1.572678	-0.019494	-2.074074	-0.019581	-2.189354
247000.000000	0.146331	1.572713	-0.019591	-2.115748	-0.019661	-2.262107
