t	z	A	theta	lambda	theta_s	lambda_s
5807000.000000	1.087888	1.540965	-0.960915	2.956508	-0.374181	1.699858
5808000.000000	1.087843	1.540963	-0.960914	2.883752	-0.374215	1.627133
5809000.000000	1.087798	1.540960	-0.960914	2.810995	-0.374249	1.554408
5810000.000000	1.087754	1.540959	-0.960913	2.738239	-0.374283	1.481683
5811000.000000	1.087709	1.540957	-0.960912	2.665482	-0.374317	1.408957
5812000.000000	1.087664	1.540955	-0.960912	2.592726	-0.374351	1.336232
5813000.000000	1.087620	1.540953	-0.960911	2.519970	-0.374385	1.263507
5814000.000000	1.087575	1.540951	-0.960910	2.447213	-0.374419	1.190782
5815000.000000	1.087529	1.540950	-0.960909	2.374457	-0.374454	1.118057
5816000.000000	1.087485	1.540949	-0.960908	2.301701	-0.374488	1.045332
5817000.000000	1.087440	1.540947	-0.960907	2.228945	-0.374522	0.972607
5818000.000000	1.087396	1.540946	-0.960906	2.156190	-0.374556	0.899882
5819000.000000	1.087352	1.540945	-0.960905	2.083434	-0.374590	0.827157
5820000.000000	1.087307	1.540943	-0.960904	2.010678	-0.374624	0.754432
5821000.000000	1.087263	1.540943	-0.960902	1.937923	-0.374658	0.681707
5822000.000000	1.087219	1.540942	-0.960901	1.865168	-0.374692	0.608982
5823000.000000	1.087175	1.540942	-0.960900	1.792413	-0.374726	0.536257
5824000.000000	1.087131	1.540942	-0.960898	1.719658	-0.374760	0.463532
5825000.000000	1.087087	1.540941	-0.960897	1.646903	-0.374794	0.390807
5826000.000000	1.087044	1.540939	-0.960896	1.574148	-0.374827	0.318082
5827000.000000	1.087000	1.540939	-0.960894	1.501393	-0.374861	0.245357
5828000.000000	1.086956	1.540939	-0.960893	1.428639	-0.374895	0.172632
5829000.000000	1.086913	1.540940	-0.960891	1.355885	-0.374929	0.099907
5830000.000000	1.086869	1.540940	-0.960890	1.283131	-0.374963	0.027182
5831000.000000	1.086826	1.540940	-0.960889	1.210377	-0.374997	-0.045543
5832000.000000	1.086782	1.540941	-0.960887	1.137623	-0.375031	-0.118268
5833000.000000	1.086740	1.540940	-0.960886	1.064869	-0.375064	-0.190993
5834000.000000	1.086697	1.540941	-0.960885	0.992116	-0.375098	-0.263718
5835000.000000	1.086653	1.540942	-0.960883	0.919362	-0.375132	-0.336443
5836000.000000	1.086611	1.540943	-0.960882	0.846609	-0.375166	-0.409168
5837000.000000	1.086568	1.540943	-0.960881	0.773856	-0.375199	-0.481893
5838000.000000	1.086526	1.540945	-0.960879	0.701103	-0.375233	-0.554618
5839000.000000	1.086483	1.540946	-0.960878	0.628350	-0.375267	-0.627343
5840000.000000	1.086440	1.540947	-0.960877	0.555597	-0.375301	-0.700068
5841000.000000	1.086398	1.540947	-0.960876	0.482844	-0.375334	-0.772793
5842000.000000	1.086355	1.540948	-0.960875	0.410092	-0.375368	-0.845517
5843000.000000	1.086313	1.540950	-0.960874	0.337340	-0.375402	-0.918242
5844000.000000	1.086271	1.540950	-0.960873	0.264587	-0.375435	-0.990967
5845000.000000	1.086228	1.540952	-0.960872	0.191835	-0.375469	-1.063692
5846000.000000	1.086187	1.540953	-0.960871	0.119083	-0.375502	-1.136417
5847000.000000	1.086144	1.540955	-0.960870	0.046331	-0.375536	-1.209142
5848000.000000	1.086102	1.540956	-0.960869	-0.026421	-0.375570	-1.281867
5849000.000000	1.086061	1.540958	-0.960868	-0.099173	-0.375603	-1.354592
5850000.000000	1.086018	1.540959	-0.960868	-0.171925	-0.375637	-1.427317
5851000.000000	1.085977	1.540960	-0.960867	-0.244676	-0.375670	-1.500041
5852000.000000	1.085935	1.540961	-0.960867	-0.317428	-0.375704	-1.572766
5853000.000000	1.085893	1.540962	-0.960866	-0.390180	-0.375737	-1.645491
5854000.000000	1.085851	1.540964	-0.960866	-0.462931	-0.375771	-1.718216
5855000.000000	1.085810	1.540966	-0.960865	-0.535683	-0.375804	-1.790941
5856000.000000	1.085768	1.540968	-0.960865	-0.608434	-0.375838	-1.863666
5857000.000000	1.085727	1.540968	-0.960865	-0.681185	-0.375871	-1.936390
5858000.000000	1.085685	1.540970	-0.960864	-0.753937	-0.375905	-2.009115
5859000.000000	1.085644	1.540972	-0.960864	-0.826688	-0.375938	-2.081840
5860000.000000	1.085602	1.540972	-0.960864	-0.899440	-0.375971	-2.154565
5861000.000000	1.085561	1.540974	-0.960864	-0.972191	-0.376005	-2.227290
5862000.000000	1.085520	1.540976	-0.960864	-1.044942	-0.376038	-2.300015
5863000.000000	1.085478	1.540975	-0.960864	-1.117694	-0.376071	-2.372739
5864000.000000	1.085436	1.540978	-0.960864	-1.190445	-0.376105	-2.445464
5865000.000000	1.085395	1.540979	-0.960864	-1.263196	-0.376138	-2.518189
5866000.000000	1.085354	1.540980	-0.960864	-1.335948	-0.376171	-2.590914
5867000.000000	1.085311	1.540980	-0.960865	-1.408699	-0.376205	-2.663638
5868000.000000	1.085270	1.540981	-0.960865	-1.481451	-0.376238	-2.736363
5869000.000000	1.085229	1.540982	-0.960865	-1.554202	-0.376271	-2.809088
5870000.000000	1.085188	1.540982	-0.960866	-1.626954	-0.376304	-2.881813
5871000.000000	1.085146	1.540985	-0.960866	-1.699705	-0.376338	-2.954538
5872000.000000	1.085104	1.540984	-0.960866	-1.772457	-0.376371	-3.027262
5873000.000000	1.085063	1.540985	-0.960867	-1.845208	-0.376404	-3.099987
5874000.000000	1.085021	1.540985	-0.960867	-1.917960	-0.376437	3.110474
5875000.000000	1.084980	1.540985	-0.960868	-1.990712	-0.376470	3.037749
5876000.000000	1.084938	1.540987	-0.960868	-2.063463	-0.376504	2.965024
5877000.000000	1.084897	1.540987	-0.960869	-2.136215	-0.376537	2.892299
5878000.000000	1.084855	1.540987	-0.960869	-2.208967	-0.376570	2.819575
5879000.000000	1.084813	1.540987	-0.960870	-2.281719	-0.376603	2.746850
5880000.000000	1.084772	1.540988	-0.960870	-2.354471	-0.376636	2.674125
5881000.000000	1.084730	1.540987	-0.960871	-2.427223	-0.376669	2.601401
5882000.000000	1.084688	1.540988	-0.960871	-2.499975	-0.376702	2.528676
5883000.000000	1.084647	1.540988	-0.960872	-2.572727	-0.376735	2.455951
5884000.000000	1.084605	1.540988	-0.960872	-2.645479	-0.376768	2.383227
5885000.000000	1.084563	1.540988	-0.960873	-2.718231	-0.376801	2.310502
5886000.000000	1.084521	1.540987	-0.960873	-2.790984	-0.376834	2.237777
5887000.000000	1.084479	1.540987	-0.960874	-2.863736	-0.376867	2.165053
5888000.000000	1.084437	1.540987	-0.960874	-2.936489	-0.376900	2.092328
5889000.000000	1.084396	1.540987	-0.960875	-3.009241	-0.376933	2.019603
5890000.000000	1.084354	1.540986	-0.960875	-3.081993	-0.376966	1.946879
5891000.000000	1.084312	1.540985	-0.960876	3.128439	-0.376999	1.874154
5892000.000000	1.084270	1.540986	-0.960876	3.055687	-0.377032	1.801429
5893000.000000	1.084228	1.540984	-0.960877	2.982934	-0.377065	1.728705
5894000.000000	1.084185	1.540984	-0.960877	2.910181	-0.377098	1.655980
5895000.000000	1.084145	1.540984	-0.960877	2.837429	-0.377130	1.583255
5896000.000000	1.084102	1.540983	-0.960878	2.764676	-0.377163	1.510531
5897000.000000	1.084060	1.540982	-0.960878	2.691923	-0.377196	1.437806
5898000.000000	1.084018	1.540981	-0.960878	2.619170	-0.377229	1.365082
5899000.000000	1.083976	1.540981	-0.960879	2.546417	-0.377262	1.292357
5900000.000000	1.083934	1.540980	-0.960879	2.473664	-0.377295	1.219632
5901000.000000	1.083892	1.540979	-0.960879	2.400912	-0.377327	1.146908
5902000.000000	1.083850	1.540979	-0.960879	2.328159	-0.377360	1.074183
5903000.000000	1.083808	1.540978	-0.960879	2.255406	-0.377393	1.001459
5904000.000000	1.083766	1.540977	-0.960880	2.182653	-0.377425	0.928734
5905000.000000	1.083724	1.540976	-0.960880	2.109900	-0.377458	0.856010
5906000.000000	1.083682	1.540976	-0.960880	2.037147	-0.377491	0.783285
5907000.000000	1.083640	1.540975	-0.960880	1.964394	-0.377524	0.710560
5908000.000000	1.083598	1.540974	-0.960880	1.891641	-0.377556	0.637836
5909000.000000	1.083556	1.540973	-0.960880	1.818888	-0.377589	0.565111
5910000.000000	1.083514	1.540972	-0.960880	1.746135	-0.377621	0.492387
5911000.000000	1.083472	1.540972	-0.960879	1.673382	-0.377654	0.419662
5912000.000000	1.083430	1.540971	-0.960879	1.600629	-0.377687	0.346938
5913000.000000	1.083388	1.540970	-0.960879	1.527876	-0.377719	0.274213
5914000.000000	1.083346	1.540969	-0.960879	1.455123	-0.377752	0.201489
5915000.000000	1.083304	1.540968	-0.960879	1.382370	-0.377784	0.128764
5916000.000000	1.083262	1.540968	-0.960878	1.309617	-0.377817	0.056040
5917000.000000	1.083221	1.540968	-0.960878	1.236865	-0.377849	-0.016685
5918000.000000	1.083179	1.540967	-0.960878	1.164112	-0.377882	-0.089409
5919000.000000	1.083137	1.540966	-0.960877	1.091359	-0.377914	-0.162134
5920000.000000	1.083095	1.540965	-0.960877	1.018606	-0.377947	-0.234858
5921000.000000	1.083054	1.540965	-0.960877	0.945854	-0.377979	-0.307583
5922000.000000	1.083011	1.540965	-0.960876	0.873101	-0.378012	-0.380307
5923000.000000	1.082970	1.540964	-0.960876	0.800348	-0.378044	-0.453032
5924000.000000	1.082928	1.540964	-0.960875	0.727596	-0.378077	-0.525756
5925000.000000	1.082887	1.540963	-0.960875	0.654843	-0.378109	-0.598481
5926000.000000	1.082846	1.540963	-0.960874	0.582091	-0.378141	-0.671205
5927000.000000	1.082804	1.540963	-0.960874	0.509339	-0.378174	-0.743929
5928000.000000	1.082762	1.540962	-0.960873	0.436586	-0.378206	-0.816654
5929000.000000	1.082721	1.540961	-0.960873	0.363834	-0.378238	-0.889378
5930000.000000	1.082680	1.540963	-0.960872	0.291082	-0.378271	-0.962103
5931000.000000	1.082638	1.540962	-0.960872	0.218330	-0.378303	-1.034827
5932000.000000	1.082597	1.540961	-0.960871	0.145577	-0.378335	-1.107552
5933000.000000	1.082555	1.540961	-0.960871	0.072825	-0.378368	-1.180276
5934000.000000	1.082514	1.540961	-0.960870	0.000073	-0.378400	-1.253000
5935000.000000	1.082473	1.540961	-0.960869	-0.072679	-0.378432	-1.325725
5936000.000000	1.082432	1.540961	-0.960869	-0.145430	-0.378464	-1.398449
5937000.000000	1.082391	1.540962	-0.960868	-0.218182	-0.378497	-1.471174
5938000.000000	1.082350	1.540962	-0.960868	-0.290934	-0.378529	-1.543898
5939000.000000	1.082308	1.540961	-0.960867	-0.363686	-0.378561	-1.616622
5940000.000000	1.082268	1.540962	-0.960867	-0.436437	-0.378593	-1.689347
5941000.000000	1.082227	1.540962	-0.960866	-0.509189	-0.378625	-1.762071
5942000.000000	1.082186	1.540962	-0.960865	-0.581940	-0.378657	-1.834795
5943000.000000	1.082146	1.540962	-0.960865	-0.654692	-0.378689	-1.907520
5944000.000000	1.082104	1.540963	-0.960864	-0.727443	-0.378722	-1.980244
5945000.000000	1.082063	1.540962	-0.960864	-0.800195	-0.378754	-2.052968
5946000.000000	1.082023	1.540964	-0.960863	-0.872946	-0.378786	-2.125693
5947000.000000	1.081982	1.540964	-0.960863	-0.945697	-0.378818	-2.198417
5948000.000000	1.081942	1.540964	-0.960862	-1.018448	-0.378850	-2.271141
5949000.000000	1.081901	1.540964	-0.960862	-1.091200	-0.378882	-2.343866
5950000.000000	1.081860	1.540965	-0.960861	-1.163951	-0.378914	-2.416590
5951000.000000	1.081820	1.540965	-0.960861	-1.236702	-0.378946	-2.489314
5952000.000000	1.081779	1.540965	-0.960861	-1.309453	-0.378978	-2.562039
5953000.000000	1.081739	1.540966	-0.960860	-1.382204	-0.379010	-2.634763
5954000.000000	1.081698	1.540966	-0.960860	-1.454955	-0.379042	-2.707487
5955000.000000	1.081658	1.540967	-0.960859	-1.527706	-0.379074	-2.780212
5956000.000000	1.081618	1.540968	-0.960859	-1.600456	-0.379106	-2.852936
5957000.000000	1.081578	1.540967	-0.960859	-1.673207	-0.379137	-2.925660
5958000.000000	1.081537	1.540968	-0.960858	-1.745958	-0.379169	-2.998384
5959000.000000	1.081497	1.540969	-0.960858	-1.818709	-0.379201	-3.071109
5960000.000000	1.081457	1.540970	-0.960858	-1.891459	-0.379233	3.139352
5961000.000000	1.081417	1.540970	-0.960858	-1.964210	-0.379265	3.066628
5962000.000000	1.081376	1.540970	-0.960857	-2.036961	-0.379297	2.993904
5963000.000000	1.081336	1.540971	-0.960857	-2.109711	-0.379329	2.921180
5964000.000000	1.081297	1.540971	-0.960857	-2.182462	-0.379360	2.848455
5965000.000000	1.081256	1.540971	-0.960857	-2.255213	-0.379392	2.775731
5966000.000000	1.081216	1.540972	-0.960857	-2.327963	-0.379424	2.703007
5967000.000000	1.081175	1.540972	-0.960856	-2.400714	-0.379456	2.630283
5968000.000000	1.081136	1.540973	-0.960856	-2.473464	-0.379487	2.557558
5969000.000000	1.081096	1.540973	-0.960856	-2.546215	-0.379519	2.484834
5970000.000000	1.081056	1.540974	-0.960856	-2.618965	-0.379551	2.412110
5971000.000000	1.081016	1.540973	-0.960856	-2.691716	-0.379582	2.339386
5972000.000000	1.080976	1.540974	-0.960856	-2.764466	-0.379614	2.266662
5973000.000000	1.080936	1.540975	-0.960856	-2.837217	-0.379646	2.193937
5974000.000000	1.080896	1.540975	-0.960856	-2.909967	-0.379677	2.121213
5975000.000000	1.080856	1.540975	-0.960856	-2.982718	-0.379709	2.048489
5976000.000000	1.080816	1.540976	-0.960856	-3.055468	-0.379741	1.975765
5977000.000000	1.080776	1.540975	-0.960856	-3.128219	-0.379772	1.903041
5978000.000000	1.080736	1.540976	-0.960856	3.082216	-0.379804	1.830317
5979000.000000	1.080697	1.540976	-0.960856	3.009466	-0.379835	1.757592
5980000.000000	1.080656	1.540976	-0.960856	2.936715	-0.379867	1.684868
5981000.000000	1.080617	1.540977	-0.960856	2.863965	-0.379898	1.612144
5982000.000000	1.080576	1.540977	-0.960856	2.791214	-0.379930	1.539420
5983000.000000	1.080537	1.540977	-0.960856	2.718464	-0.379961	1.466696
5984000.000000	1.080496	1.540977	-0.960856	2.645713	-0.379993	1.393972
5985000.000000	1.080457	1.540977	-0.960856	2.572963	-0.380024	1.321248
5986000.000000	1.080417	1.540978	-0.960856	2.500212	-0.380056	1.248523
5987000.000000	1.080378	1.540978	-0.960856	2.427462	-0.380087	1.175799
5988000.000000	1.080337	1.540978	-0.960856	2.354711	-0.380119	1.103075
5989000.000000	1.080298	1.540978	-0.960856	2.281961	-0.380150	1.030351
5990000.000000	1.080258	1.540977	-0.960856	2.209210	-0.380181	0.957627
5991000.000000	1.080217	1.540977	-0.960856	2.136459	-0.380213	0.884903
5992000.000000	1.080178	1.540977	-0.960856	2.063709	-0.380244	0.812179
5993000.000000	1.080137	1.540977	-0.960856	1.990958	-0.380276	0.739455
5994000.000000	1.080098	1.540977	-0.960856	1.918208	-0.380307	0.666731
5995000.000000	1.080058	1.540976	-0.960857	1.845457	-0.380338	0.594007
5996000.000000	1.080019	1.540977	-0.960857	1.772707	-0.380369	0.521282
5997000.000000	1.079979	1.540977	-0.960857	1.699956	-0.380401	0.448558
5998000.000000	1.079939	1.540976	-0.960857	1.627205	-0.380432	0.375834
5999000.000000	1.079900	1.540976	-0.960857	1.554455	-0.380463	0.303110
6000000.000000	1.079860	1.540976	-0.960857	1.481704	-0.380494	0.230386
6001000.000000	1.079820	1.540977	-0.960857	1.408954	-0.380526	0.157662
6002000.000000	1.079780	1.540976	-0.960857	1.336203	-0.380557	0.084938
6003000.000000	1.079740	1.540976	-0.960857	1.263453	-0.380588	0.012214
6004000.000000	1.079701	1.540975	-0.960857	1.190702	-0.380619	-0.060510
6005000.000000	1.079661	1.540975	-0.960857	1.117951	-0.380650	-0.133234
6006000.000000	1.079621	1.540975	-0.960857	1.045201	-0.380682	-0.205958
6007000.000000	1.079581	1.540975	-0.960857	0.972450	-0.380713	-0.278682
6008000.000000	1.079541	1.540975	-0.960857	0.899700	-0.380744	-0.351406
6009000.000000	1.079502	1.540974	-0.960857	0.826949	-0.380775	-0.424130
6010000.000000	1.079462	1.540975	-0.960856	0.754199	-0.380806	-0.496854
6011000.000000	1.079422	1.540974	-0.960856	0.681448	-0.380837	-0.569578
6012000.000000	1.079383	1.540974	-0.960856	0.608697	-0.380868	-0.642302
6013000.000000	1.079343	1.540974	-0.960856	0.535947	-0.380899	-0.715026
6014000.000000	1.079303	1.540973	-0.960856	0.463196	-0.380930	-0.787750
6015000.000000	1.079264	1.540973	-0.960856	0.390446	-0.380961	-0.860474
6016000.000000	1.079224	1.540972	-0.960856	0.317695	-0.380992	-0.933198
6017000.000000	1.079185	1.540973	-0.960856	0.244945	-0.381023	-1.005922
6018000.000000	1.079145	1.540972	-0.960856	0.172194	-0.381054	-1.078646
6019000.000000	1.079106	1.540973	-0.960855	0.099444	-0.381085	-1.151370
6020000.000000	1.079066	1.540972	-0.960855	0.026693	-0.381116	-1.224094
6021000.000000	1.079027	1.540972	-0.960855	-0.046057	-0.381147	-1.296818
6022000.000000	1.078987	1.540972	-0.960855	-0.118807	-0.381178	-1.369542
6023000.000000	1.078947	1.540971	-0.960855	-0.191558	-0.381209	-1.442265
6024000.000000	1.078908	1.540971	-0.960854	-0.264308	-0.381239	-1.514989
6025000.000000	1.078869	1.540971	-0.960854	-0.337058	-0.381270	-1.587713
6026000.000000	1.078829	1.540970	-0.960854	-0.409809	-0.381301	-1.660437
6027000.000000	1.078790	1.540970	-0.960854	-0.482559	-0.381332	-1.733161
6028000.000000	1.078751	1.540971	-0.960853	-0.555309	-0.381363	-1.805885
6029000.000000	1.078712	1.540970	-0.960853	-0.628059	-0.381393	-1.878609
6030000.000000	1.078672	1.540970	-0.960853	-0.700810	-0.381424	-1.951333
6031000.000000	1.078633	1.540970	-0.960853	-0.773560	-0.381455	-2.024057
6032000.000000	1.078594	1.540970	-0.960852	-0.846310	-0.381486	-2.096781
6033000.000000	1.078555	1.540969	-0.960852	-0.919060	-0.381516	-2.169504
6034000.000000	1.078515	1.540969	-0.960852	-0.991810	-0.381547	-2.242228
6035000.000000	1.078476	1.540969	-0.960852	-1.064560	-0.381578	-2.314952
6036000.000000	1.078438	1.540969	-0.960851	-1.137310	-0.381608	-2.387676
6037000.000000	1.078398	1.540970	-0.960851	-1.210060	-0.381639	-2.460400
6038000.000000	1.078359	1.540970	-0.960851	-1.282810	-0.381670	-2.533124
6039000.000000	1.078320	1.540970	-0.960850	-1.355560	-0.381700	-2.605848
6040000.000000	1.078281	1.540969	-0.960850	-1.428310	-0.381731	-2.678571
6041000.000000	1.078241	1.540969	-0.960850	-1.501060	-0.381762	-2.751295
6042000.000000	1.078203	1.540969	-0.960850	-1.573810	-0.381792	-2.824019
6043000.000000	1.078164	1.540969	-0.960849	-1.646560	-0.381823	-2.896743
6044000.000000	1.078125	1.540969	-0.960849	-1.719310	-0.381853	-2.969467
6045000.000000	1.078086	1.540970	-0.960849	-1.792059	-0.381884	-3.042191
6046000.000000	1.078047	1.540969	-0.960848	-1.864809	-0.381914	-3.114914
6047000.000000	1.078008	1.540969	-0.960848	-1.937559	-0.381945	3.095547
6048000.000000	1.077970	1.540970	-0.960848	-2.010308	-0.381975	3.022823
6049000.000000	1.077930	1.540970	-0.960847	-2.083058	-0.382006	2.950100
6050000.000000	1.077892	1.540969	-0.960847	-2.155808	-0.382036	2.877376
6051000.000000	1.077853	1.540970	-0.960847	-2.228557	-0.382067	2.804652
6052000.000000	1.077815	1.540969	-0.960847	-2.301307	-0.382097	2.731928
6053000.000000	1.077777	1.540970	-0.960846	-2.374056	-0.382127	2.659204
6054000.000000	1.077737	1.540970	-0.960846	-2.446806	-0.382158	2.586481
6055000.000000	1.077699	1.540970	-0.960846	-2.519555	-0.382188	2.513757
6056000.000000	1.077660	1.540970	-0.960846	-2.592305	-0.382219	2.441033
6057000.000000	1.077622	1.540971	-0.960845	-2.665054	-0.382249	2.368309
6058000.000000	1.077583	1.540970	-0.960845	-2.737803	-0.382279	2.295586
6059000.000000	1.077544	1.540971	-0.960845	-2.810553	-0.382310	2.222862
6060000.000000	1.077506	1.540971	-0.960845	-2.883302	-0.382340	2.150138
6061000.000000	1.077468	1.540972	-0.960844	-2.956051	-0.382370	2.077414
6062000.000000	1.077429	1.540970	-0.960844	-3.028801	-0.382400	2.004691
6063000.000000	1.077390	1.540971	-0.960844	-3.101550	-0.382431	1.931967
6064000.000000	1.077352	1.540971	-0.960844	3.108886	-0.382461	1.859243
6065000.000000	1.077314	1.540971	-0.960843	3.036137	-0.382491	1.786520
6066000.000000	1.077276	1.540972	-0.960843	2.963388	-0.382521	1.713796
6067000.000000	1.077238	1.540972	-0.960843	2.890639	-0.382551	1.641072
6068000.000000	1.077198	1.540971	-0.960843	2.817889	-0.382582	1.568349
6069000.000000	1.077160	1.540972	-0.960843	2.745140	-0.382612	1.495625
6070000.000000	1.077122	1.540972	-0.960842	2.672391	-0.382642	1.422901
6071000.000000	1.077084	1.540973	-0.960842	2.599642	-0.382672	1.350177
6072000.000000	1.077046	1.540972	-0.960842	2.526893	-0.382702	1.277454
6073000.000000	1.077008	1.540973	-0.960842	2.454144	-0.382732	1.204730
6074000.000000	1.076970	1.540973	-0.960842	2.381395	-0.382762	1.132006
6075000.000000	1.076931	1.540972	-0.960842	2.308646	-0.382792	1.059283
6076000.000000	1.076893	1.540973	-0.960841	2.235897	-0.382822	0.986559
6077000.000000	1.076855	1.540973	-0.960841	2.163148	-0.382852	0.913836
6078000.000000	1.076817	1.540973	-0.960841	2.090399	-0.382882	0.841112
6079000.000000	1.076779	1.540973	-0.960841	2.017650	-0.382912	0.768388
6080000.000000	1.076741	1.540973	-0.960841	1.944901	-0.382942	0.695665
6081000.000000	1.076703	1.540973	-0.960841	1.872152	-0.382972	0.622941
6082000.000000	1.076665	1.540973	-0.960841	1.799403	-0.383002	0.550217
6083000.000000	1.076626	1.540973	-0.960840	1.726654	-0.383032	0.477494
6084000.000000	1.076588	1.540974	-0.960840	1.653905	-0.383062	0.404770
6085000.000000	1.076550	1.540974	-0.960840	1.581157	-0.383092	0.332047
6086000.000000	1.076512	1.540974	-0.960840	1.508408	-0.383122	0.259323
6087000.000000	1.076475	1.540975	-0.960840	1.435659	-0.383152	0.186599
6088000.000000	1.076436	1.540974	-0.960840	1.362910	-0.383182	0.113876
6089000.000000	1.076398	1.540975	-0.960840	1.290161	-0.383212	0.041152
6090000.000000	1.076360	1.540973	-0.960840	1.217412	-0.383241	-0.031571
6091000.000000	1.076323	1.540974	-0.960840	1.144664	-0.383271	-0.104295
6092000.000000	1.076285	1.540975	-0.960839	1.071915	-0.383301	-0.177019
6093000.000000	1.076247	1.540975	-0.960839	0.999166	-0.383331	-0.249742
6094000.000000	1.076209	1.540975	-0.960839	0.926417	-0.383361	-0.322466
6095000.000000	1.076171	1.540974	-0.960839	0.853668	-0.383390	-0.395189
6096000.000000	1.076134	1.540975	-0.960839	0.780920	-0.383420	-0.467913
6097000.000000	1.076095	1.540975	-0.960839	0.708171	-0.383450	-0.540636
6098000.000000	1.076058	1.540974	-0.960839	0.635422	-0.383479	-0.613360
6099000.000000	1.076020	1.540974	-0.960839	0.562674	-0.383509	-0.686083
6100000.000000	1.075982	1.540975	-0.960839	0.489925	-0.383539	-0.758807
6101000.000000	1.075945	1.540974	-0.960839	0.417176	-0.383568	-0.831530
6102000.000000	1.075907	1.540974	-0.960839	0.344427	-0.383598	-0.904254
6103000.000000	1.075869	1.540975	-0.960838	0.271679	-0.383628	-0.976977
6104000.000000	1.075832	1.540974	-0.960838	0.198930	-0.383657	-1.049701
6105000.000000	1.075794	1.540975	-0.960838	0.126181	-0.383687	-1.122425
6106000.000000	1.075757	1.540974	-0.960838	0.053433	-0.383716	-1.195148
6107000.000000	1.075719	1.540975	-0.960838	-0.019316	-0.383746	-1.267872
6108000.000000	1.075680	1.540974	-0.960838	-0.092065	-0.383776	-1.340595
6109000.000000	1.075643	1.540974	-0.960838	-0.164813	-0.383805	-1.413318
6110000.000000	1.075605	1.540974	-0.960838	-0.237562	-0.383835	-1.486042
6111000.000000	1.075568	1.540974	-0.960838	-0.310310	-0.383864	-1.558765
6112000.000000	1.075530	1.540975	-0.960837	-0.383059	-0.383894	-1.631489
6113000.000000	1.075492	1.540973	-0.960837	-0.455808	-0.383923	-1.704212
6114000.000000	1.075455	1.540975	-0.960837	-0.528556	-0.383953	-1.776936
6115000.000000	1.075417	1.540973	-0.960837	-0.601305	-0.383982	-1.849659
6116000.000000	1.075381	1.540974	-0.960837	-0.674053	-0.384011	-1.922383
6117000.000000	1.075342	1.540973	-0.960837	-0.746802	-0.384041	-1.995106
6118000.000000	1.075306	1.540974	-0.960837	-0.819550	-0.384070	-2.067830
6119000.000000	1.075267	1.540974	-0.960836	-0.892299	-0.384100	-2.140553
6120000.000000	1.075230	1.540974	-0.960836	-0.965047	-0.384129	-2.213276
6121000.000000	1.075193	1.540973	-0.960836	-1.037796	-0.384158	-2.286000
6122000.000000	1.075155	1.540974	-0.960836	-1.110544	-0.384188	-2.358723
6123000.000000	1.075119	1.540974	-0.960836	-1.183292	-0.384217	-2.431447
6124000.000000	1.075081	1.540973	-0.960836	-1.256041	-0.384246	-2.504170
6125000.000000	1.075044	1.540973	-0.960836	-1.328789	-0.384275	-2.576894
6126000.000000	1.075006	1.540973	-0.960835	-1.401538	-0.384305	-2.649617
6127000.000000	1.074969	1.540973	-0.960835	-1.474286	-0.384334	-2.722340
6128000.000000	1.074932	1.540973	-0.960835	-1.547034	-0.384363	-2.795064
6129000.000000	1.074894	1.540972	-0.960835	-1.619783	-0.384392	-2.867787
6130000.000000	1.074857	1.540973	-0.960835	-1.692531	-0.384422	-2.940510
6131000.000000	1.074820	1.540974	-0.960834	-1.765279	-0.384451	-3.013234
6132000.000000	1.074783	1.540973	-0.960834	-1.838027	-0.384480	-3.085957
6133000.000000	1.074745	1.540972	-0.960834	-1.910776	-0.384509	3.124505
6134000.000000	1.074709	1.540973	-0.960834	-1.983524	-0.384538	3.051781
6135000.000000	1.074672	1.540972	-0.960834	-2.056272	-0.384567	2.979058
6136000.000000	1.074634	1.540972	-0.960834	-2.129020	-0.384596	2.906335
6137000.000000	1.074598	1.540973	-0.960833	-2.201768	-0.384625	2.833611
6138000.000000	1.074559	1.540973	-0.960833	-2.274517	-0.384655	2.760888
6139000.000000	1.074522	1.540972	-0.960833	-2.347265	-0.384684	2.688165
6140000.000000	1.074486	1.540973	-0.960833	-2.420013	-0.384713	2.615441
6141000.000000	1.074449	1.540972	-0.960833	-2.492761	-0.384742	2.542718
6142000.000000	1.074412	1.540973	-0.960832	-2.565509	-0.384771	2.469995
6143000.000000	1.074375	1.540973	-0.960832	-2.638257	-0.384800	2.397271
6144000.000000	1.074338	1.540973	-0.960832	-2.711005	-0.384829	2.324548
6145000.000000	1.074301	1.540972	-0.960832	-2.783753	-0.384858	2.251825
6146000.000000	1.074264	1.540971	-0.960832	-2.856501	-0.384886	2.179102
6147000.000000	1.074228	1.540972	-0.960831	-2.929249	-0.384915	2.106378
6148000.000000	1.074191	1.540972	-0.960831	-3.001997	-0.384944	2.033655
6149000.000000	1.074154	1.540972	-0.960831	-3.074745	-0.384973	1.960932
6150000.000000	1.074117	1.540973	-0.960831	3.135693	-0.385002	1.888208
6151000.000000	1.074080	1.540973	-0.960830	3.062945	-0.385031	1.815485
6152000.000000	1.074043	1.540973	-0.960830	2.990197	-0.385060	1.742762
6153000.000000	1.074006	1.540972	-0.960830	2.917449	-0.385089	1.670039
6154000.000000	1.073970	1.540972	-0.960830	2.844701	-0.385117	1.597315
6155000.000000	1.073934	1.540973	-0.960830	2.771954	-0.385146	1.524592
